trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
270,True,"{'a': 0.0, 'e': 0.0}",25,0,42.89309936567394,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
271,True,"{'a': 0.0, 'e': 0.0}",30,13,31.96550326359563,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,True,"{'a': 0.0, 'e': 0.0}",20,0,28.64843002266087,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
273,True,"{'a': 0.0, 'e': 0.0}",30,0,51.946863270678904,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
274,True,"{'a': 0.0, 'e': 0.0}",25,5,37.93667639707717,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,True,"{'a': 0.0, 'e': 0.0}",25,8,28.401733294611216,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,True,"{'a': 0.0, 'e': 0.0}",30,0,52.07286086490325,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
277,True,"{'a': 0.0, 'e': 0.0}",25,3,33.986399372646446,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,True,"{'a': 0.0, 'e': 0.0}",35,19,27.71630279835895,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,True,"{'a': 0.0, 'e': 0.0}",30,0,45.20366513765167,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
280,True,"{'a': 0.0, 'e': 0.0}",30,21,16.73747446730523,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,True,"{'a': 0.0, 'e': 0.0}",20,14,13.60778082244374,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,True,"{'a': 0.0, 'e': 0.0}",25,0,39.66411795840541,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
